Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Louisiana Tech University,3,4,Public,Southeast,Distant Town,0.6744,7047,16983,24,1089,0.6823,0.1506,0.0139,0.0099,0.0048,0.0011,0.0145,0.0444,0.1098,16983,5668,7055,0.8468,0.2218,0.4934,0.7864,0.1507,7.5,13632.5,20984.5,8583,0.870000005,0.610000014,21.48999977,57506.42,43568,14.57999992,277,2366,43300,37500
San Diego State University,3,4,Public,Far West,Large City,0.3121,26625,20252,24,1090,0.3719,0.0384,0.2946,0.14,0.0027,0.0035,0.0599,0.0409,0.1046,20252,6797,9229,0.5404,0.3956,0.6616,0.8775,0.1651,5.2,14495,16460,11004.5,0.819999993,0.629999995,21.98999977,57515.91,37534,9.479999542,711,6425,47300,44000
Grand Valley State University,3,4,Public,Great Lakes,Large Suburb,0.826,21137,21512,24,1090,0.8351,0.054,0.0431,0.0193,0.0042,0.0004,0.0261,0.0127,0.116,21512,7728,7816,0.6634,0.3632,0.695,0.8165,0.0992,5.1,20898.5,26500,12000,0.959999979,0.479999989,20.79999924,78034.29,72885.5,5.510000229,426,5381,39600,36900
Missouri State University-Springfield,3,4,Public,Great Plains,Mid-size City,0.851,15746,19117,24,1090,0.8171,0.0446,0.0313,0.0134,0.0051,0.0017,0.03,0.0411,0.1308,19117,6697,7135,0.6633,0.3198,0.5337,0.7525,0.1412,7.9,15000,22375,10250,0.939999998,0.50999999,21.57999992,69002.88,57869.5,7.639999866,449,4364,37300,34100
The University of Montana,3,4,Public,Rocky Mountains,Small City,0.9423,11630,17440,24,1090,0.8045,0.0076,0.0391,0.0119,0.0308,0.0021,0.0391,0.0193,0.1933,17440,7041,9948,0.6824,0.3912,0.4708,0.7344,0.2651,10.2,15259.5,24776.5,11326.5,0.949999988,0.620000005,23.04000092,53798.72,36634,9.840000153,467,3806,36200,30900
University of North Dakota,3,4,Public,Great Plains,Small City,0.737,11182,20538,24,1090,0.8152,0.0207,0.025,0.0136,0.0174,0.0009,0.026,0.0535,0.1672,20538,16008,8361,0.9167,0.2087,0.5529,0.7502,0.1732,3.6,16728,24500,10000,0.980000019,0.419999987,20.98999977,78359.31,72841.5,7.340000153,210,3576,47800,42600
University of Missouri-St Louis,3,4,Public,Great Plains,Large Suburb,0.7419,8928,22474,24,1090,0.6206,0.192,0.0242,0.0445,0.0037,0.0016,0.0164,0.0343,0.3502,22474,8703,8195,0.4885,0.3036,0.4567,0.7505,0.2776,8.6,18223,22000,14000,0.949999988,0.550000012,24.01000023,54750.66,37821,7.570000172,333,2918,40800,37500
University of South Dakota,3,4,Public,Great Plains,Distant Town,0.8788,6449,18843,24,1090,0.8719,0.0209,0.0338,0.0121,0.0164,0.0017,0.0256,0.0119,0.2712,18843,8747,7200,0.7684,0.2876,0.5515,0.7649,0.221,6.4,15463,24000,10500,0.980000019,0.469999999,22.98999977,61219.52,53346,7.320000172,178,2467,40900,35900
North Dakota State University-Main Campus,3,4,Public,Great Plains,Mid-size City,0.841,11629,18277,24,1091,0.8758,0.0244,0.0141,0.0132,0.0068,0.0004,0.0177,0.036,0.0832,18277,7707,8163,0.9872,0.2251,0.5308,0.7805,0.0888,3.3,17000,25050,8250,0.980000019,0.430000007,20.52000046,76035.12,71695,6.590000153,182,3463,47900,41400
University of Illinois at Chicago,3,4,Public,Great Lakes,Large City,0.714,16601,25248,24,1092,0.3791,0.0781,0.2474,0.2251,0.0014,0.0042,0.0245,0.0197,0.0749,25248,25773,9797,0.6538,0.4906,0.5669,0.7978,0.1105,4.2,14750,18532.5,8750,0.810000002,0.589999974,21.06999969,55560.29,41721,8.109999657,574,5090,54400,47000
St John's University-New York,3,4,Private,Mid-Atlantic,Large City,0.5316,11147,50233,24,1093,0.3391,0.1931,0.1639,0.1887,0.002,0.0029,0.0432,0.0499,0.0292,50233,10743,11777,0.4538,0.3083,0.557,0.7962,0.038,9.3,20000,25920,11500,0.920000017,0.589999974,19.69000053,65214.94,49731,10.30000019,429,3984,54700,48000
Georgia Southern University,3,4,Public,Southeast,Remote Town,0.52,17103,21513,23,1094,0.6328,0.2599,0.04,0.0136,0.0047,0.0015,0.0194,0.0125,0.081,21513,6183,6217,0.8801,0.3753,0.5046,0.8048,0.0826,8.9,16250,21927,10750,0.930000007,0.560000002,20.59000015,75183.28,61757,9.619999886,377,3686,39300,36600
SUNY Oneonta,3,4,Public,Mid-Atlantic,Remote Town,0.5073,5759,20762,24,1097,0.8175,0.0328,0.087,0.0155,0.0023,0.0005,0,0.0135,0.0168,20762,8609,6242,0.5653,0.2871,0.6978,0.8741,0.0293,6.5,20500,22870.5,11667,0.949999988,0.449999988,20.10000038,79989.41,72432,7.059999943,161,2100,40000,37300
University of North Texas,3,4,Public,Southwest,Mid-size City,0.5969,31243,18593,24,1100,0.5114,0.1423,0.206,0.0535,0.0052,0.0012,0.0313,0.0392,0.2278,18593,7571,9746,1,0.3645,0.4993,0.7503,0.2361,10,14955,20750,9835.5,0.939999998,0.529999971,22.26000023,64825.21,49512,7.210000038,695,6921,41200,39400
University of Mississippi,3,4,Public,Southeast,Remote Town,0.5936,16432,21526,24,1100,0.7675,0.1559,0.0275,0.0158,0.0026,0.001,0.0178,0.0114,0.0621,21526,9350,8409,0.826,0.2975,0.5797,0.8558,0.0931,7.5,15750,21500,11785,0.910000026,0.519999981,22.14999962,68842.41,46826.5,12.17000008,286,3213,46900,37900
CUNY Queens College,3,4,Public,Mid-Atlantic,Large City,0.3702,14424,13676,0,1100,0.3531,0.0728,0.2714,0.2412,0.0017,0.0035,0.006,0.0503,0.2544,13676,8204,7624,0.4045,0.3807,0.5635,0.8444,0.2501,6.5,9054,11200,7639.5,0.370000005,0.819999993,23.03000069,31861.75,22794.5,11.64999962,428,2581,45300,42300
CUNY Brooklyn College,3,4,Public,Mid-Atlantic,Large City,0.3198,12625,13903,0,1100,0.3796,0.2187,0.179,0.1739,0.0016,0.0023,0.0116,0.0334,0.2504,13903,8845,7529,0.4509,0.4816,0.51,0.864,0.2761,8.3,9500,11000,8500,0.439999998,0.850000024,23.25,27433.12,19691,18.70000076,563,2980,43100,39300
University of New Hampshire-Main Campus,3,4,Public,New England,Small Suburb,0.7784,12288,29520,0,1100,0.8016,0.0118,0.0293,0.0203,0.0027,0.0002,0.0165,0.0116,0.0238,29520,10236,11061,0.6173,0.2238,0.7919,0.8641,0.0324,2.9,23128.5,27000,11000,0.99000001,0.300000012,20.03000069,96733.64,88997,4.130000114,247,3829,45900,42400
Oregon State University,3,4,Public,Far West,Small City,0.7894,22349,22974,24,1102,0.6897,0.0128,0.0733,0.0662,0.0069,0.0042,0.0575,0.057,0.1893,22974,10145,8692,0.7417,0.3339,0.6147,0.8415,0.1938,5,16846,23166,11386,0.939999998,0.560000002,21.57999992,66705.26,54955,7.5,437,4362,46400,41600
Virginia Commonwealth University,3,4,Public,Southeast,Mid-size City,0.6913,22049,25291,24,1102,0.5162,0.1842,0.0754,0.1213,0.0026,0.0029,0.0463,0.0293,0.1181,25291,12826,8242,0.6627,0.2865,0.5681,0.8659,0.1501,6,19125,24750,11750,0.959999979,0.519999981,21.42000008,69541.5,55696,6.539999962,381,4656,42700,38600
SUNY at Albany,3,4,Public,Mid-Atlantic,Small City,0.5545,12542,21249,24,1102,0.5347,0.1442,0.1323,0.0757,0.0028,0.0015,0.0257,0.0489,0.0458,21249,11393,9423,0.5564,0.3747,0.6638,0.815,0.0701,5.9,16750,21500,10205,0.939999998,0.519999981,20.29999924,74245.98,60558,8.100000381,310,3827,47600,44100
Ohio University-Main Campus,3,4,Public,Great Lakes,Distant Town,0.7295,23331,23605,24,1104,0.8324,0.0473,0.024,0.0091,0.0017,0.0008,0.0258,0.0442,0.2828,23605,9768,8294,0.6772,0.2339,0.6657,0.7862,0.2772,15,14457,22500,9500,0.930000007,0.529999971,21.93000031,73621.04,62815,7.820000172,836,7067,38900,35800
West Chester University of Pennsylvania,3,4,Public,Mid-Atlantic,Large Suburb,0.5156,13456,24997,0,1105,0.8114,0.0922,0.0468,0.021,0.001,0.0005,0.0236,0.003,0.0761,24997,7384,8909,0.7345,0.2406,0.6864,0.8736,0.0907,5.2,19695.5,23811,14000,0.970000029,0.349999994,20.59000015,87436.62,82783,5.170000076,235,3122,43500,42000
University of Missouri-Kansas City,3,4,Public,Great Plains,Large City,0.33,8309,23437,24,1105,0.5772,0.1634,0.0699,0.065,0.0034,0.0019,0.0311,0.0375,0.1938,23437,15048,8305,0.6246,0.3208,0.5131,0.733,0.2499,9.8,15750,21187,11000,0.949999988,0.519999981,23.30999947,57316.66,40642,7.360000134,286,2524,47400,41300
Embry-Riddle Aeronautical University-Daytona Beach,3,4,Private,Southeast,Small City,0.7405,4666,45648,24,1105,0.5332,0.0574,0.0705,0.0463,0.0047,0.0024,0.0437,0.1595,0.0667,45648,16386,8505,0.8602,0.3103,0.569,0.778,0.1423,4.6,16500,26000,11750,0.910000026,0.479999989,23.22999954,71628,52839,7.300000191,226,2940,59200,53800
University of Arizona,3,4,Public,Southwest,Large City,0.7692,31399,23905,24,1106,0.5464,0.0333,0.2444,0.0561,0.0106,0.0021,0.0417,0.055,0.099,23905,11382,10320,0.7478,0.3265,0.6139,0.8148,0.091,7,13500,19000,9279,0.860000014,0.600000024,21.52000046,68621.67,46758,9.289999962,703,5942,46400,40000
Mississippi State University,3,4,Public,Southeast,Remote Town,0.6482,16399,20796,24,1106,0.7156,0.2122,0.0187,0.0109,0.006,0.0009,0.0127,0.0148,0.0824,20796,6989,7852,0.8636,0.3415,0.6105,0.7851,0.107,8.3,15500,23250,10453,0.899999976,0.639999986,21.80999947,57616.67,41243.5,14.92000008,305,3094,41900,36800
University of Oregon,3,4,Public,Far West,Mid-size City,0.7417,20473,22390,25,1108,0.6425,0.0199,0.0813,0.0513,0.0052,0.0048,0.0584,0.1242,0.0782,22390,11641,8828,0.7024,0.2585,0.6653,0.8672,0.0847,5.8,18309,21535,10333,0.949999988,0.50999999,21.72999954,71151.8,54318,7.28000021,517,4089,42200,38000
University of Utah,3,4,Public,Rocky Mountains,Mid-size City,0.8174,23273,19048,24,1109,0.7156,0.0122,0.0938,0.0505,0.0054,0.0059,0.0319,0.0664,0.268,19048,12835,7764,0.9448,0.3225,0.6037,0.8791,0.3208,3.9,12839,15400,10821,0.829999983,0.670000017,23.54000092,47548.1,32294,6.059999943,830,5127,51600,44300
University of Minnesota-Duluth,3,4,Public,Great Plains,Small City,0.7822,9239,22796,24,1109,0.8759,0.0195,0.0203,0.0291,0.0043,0.0008,0.0246,0.0184,0.0378,22796,6299,7487,0.7962,0.2431,0.5883,0.7509,0.0466,4.4,18925,25000,10250,0.970000029,0.360000014,20.34000015,87902.82,83294.5,4.949999809,157,2970,45300,39900
Illinois State University,3,4,Public,Great Lakes,Mid-size Suburb,0.6892,17667,25416,24,1110,0.7969,0.0714,0.0771,0.02,0.0018,0.001,0.0223,0.0046,0.0586,25416,9950,7665,0.7261,0.2557,0.7162,0.816,0.0615,4,18750,22500,9500,0.949999988,0.389999986,20.45999908,86459.94,82019,5.019999981,301,5168,43000,40600
CUNY City College,3,4,Public,Mid-Atlantic,Large City,0.341,11820,14041,0,1110,0.1675,0.183,0.3226,0.2353,0.0008,0.0043,0.0108,0.0756,0.2215,14041,13009,8257,0.4029,0.5073,0.4201,0.8747,0.2353,9,10000,12500,8000,0.400000006,0.860000014,23.11000061,26864.6,20534,21.60000038,389,2368,43400,39700
University of Wisconsin-Eau Claire,3,4,Public,Great Lakes,Small City,0.7646,10218,18066,24,1110,0.8984,0.0064,0.0186,0.033,0.004,0.0004,0.0166,0.0202,0.0695,18066,6718,6886,0.9681,0.2654,0.6693,0.8228,0.0796,3.8,17823.5,23250,8750,0.970000029,0.409999996,20.40999985,82400.9,78332,4.449999809,149,2644,42000,39900
SUNY College at Oswego,3,4,Public,Mid-Atlantic,Distant Town,0.4863,7245,21222,24,1110,0.793,0.0592,0.0876,0.0173,0.0017,0.0007,0.0231,0.016,0.0406,21222,9804,6733,0.5811,0.3913,0.5785,0.7803,0.0712,7,18750,23000,10900,0.959999979,0.519999981,20.69000053,70031.26,63043,8.170000076,219,2757,39200,36400
Western Washington University,3,4,Public,Far West,Small City,0.8371,13925,22009,25,1114,0.7534,0.0156,0.068,0.0641,0.0043,0.0014,0.0759,0.0099,0.0725,22009,8298,8028,0.6493,0.255,0.6932,0.8282,0.0737,4.7,15500,19500,10476,0.930000007,0.469999999,21.62999916,70343.27,60238,6.550000191,410,3394,41500,39000
Montana State University,3,4,Public,Rocky Mountains,Remote Town,0.8449,13055,18486,24,1115,0.8701,0.0071,0.0315,0.0103,0.0139,0.0008,0.03,0.0283,0.1649,18486,7209,8068,0.8485,0.3161,0.4941,0.7576,0.1675,5.7,14465,24801,11500,0.949999988,0.589999974,21.61000061,63595.51,49742,8.579999924,341,3243,40600,35600
Texas Tech University,3,4,Public,Southwest,Mid-size City,0.663,26809,20900,25,1116,0.6329,0.0587,0.2063,0.0268,0.0034,0.001,0.0283,0.0367,0.0935,20900,6813,8757,0.8605,0.289,0.5904,0.8233,0.1001,7.6,17750,23246.5,10763,0.949999988,0.479999989,20.59000015,82825.99,69477,8.600000381,530,6207,49800,43900
Catholic University of America,3,4,Private,Mid-Atlantic,Large City,0.6007,3641,54023,25,1118,0.6311,0.0549,0.1052,0.0313,0.0016,0.0011,0.0313,0.0481,0.0536,54023,15799,9565,0.4848,0.1232,0.6852,0.8261,0.094,2.6,22000,26000,9500,0.980000019,0.239999995,21.21999931,120106.07,106352,5.400000095,71,808,51100,48900
Rowan University,3,4,Public,Mid-Atlantic,Large Suburb,0.5923,10656,26970,0,1120,0.7291,0.0848,0.0937,0.0372,0.0025,0.0011,0.0241,0.0074,0.1235,26970,13609,9370,0.3174,0.3007,0.6982,0.841,0.1353,5.2,18500,21146,14000,0.959999979,0.419999987,21.34000015,81120.55,74007.5,5.760000229,189,2881,47400,45900
Temple University,3,4,Public,Mid-Atlantic,Large City,0.6387,27511,27247,25,1121,0.6028,0.1352,0.0542,0.1011,0.0019,0.0009,0.0232,0.0348,0.1058,27247,12500,9648,0.5007,0.3352,0.6632,0.8883,0.1241,5.6,21700,25799,13751,0.959999979,0.5,21.32999992,70311.21,56155,8.350000381,861,7930,49500,43600
University of Scranton,3,4,Private,Mid-Atlantic,Small City,0.7503,3834,51962,25,1121,0.8127,0.0159,0.0741,0.0282,0.001,0.0003,0.0201,0.0034,0.0276,51962,10141,9400,0.7286,0.2014,0.8176,0.9032,0.0337,4,26442,27000,12000,0.980000019,0.340000004,20.06999969,106711.89,93993,5.519999981,62,1215,53800,50800
University of California-Irvine,3,4,Public,Far West,Mid-size City,0.4239,23517,28980,24,1122,0.1739,0.0187,0.2171,0.4371,0.0016,0.0042,0.0396,0.0894,0.0171,28980,17853,12839,0.7884,0.432,0.8585,0.9175,0.0442,3.1,15500,17414,10788.5,0.850000024,0.579999983,20.19000053,67260.78,50385,8.710000038,471,3936,52000,47100
Duquesne University,3,4,Private,Mid-Atlantic,Large City,0.7409,5944,42280,25,1122,0.8383,0.0421,0.0269,0.0185,0.0013,0.001,0.0217,0.0387,0.035,42280,10729,8863,0.4849,0.2023,0.7688,0.8761,0.0536,2.8,25500,27000,12000,0.980000019,0.330000013,20.95999908,90458.69,81511,6.449999809,124,2209,59700,51600
University of Wyoming,3,4,Public,Rocky Mountains,Remote Town,0.9569,9969,17652,25,1123,0.8108,0.0117,0.0605,0.0112,0.0066,0.0029,0.0221,0.0385,0.172,17652,13902,8810,0.9097,0.2428,0.5409,0.7394,0.2393,5.3,12511.5,19000,9500,0.910000026,0.540000021,22.51000023,62802.32,51123,7.96999979,299,2685,46200,42000
Colorado State University-Fort Collins,3,4,Public,Rocky Mountains,Mid-size City,0.7743,22482,21823,25,1127,0.7495,0.021,0.096,0.019,0.0033,0.0009,0.0346,0.0251,0.1024,21823,10417,8869,0.6959,0.2571,0.6383,0.8591,0.107,4.8,16707.5,21250,9750,0.930000007,0.439999998,20.79000092,81929.11,69107,5.110000134,537,5053,44200,39500
Xavier University,3,4,Private,Great Lakes,Large City,0.6997,4452,45080,25,1132,0.7302,0.1,0.0449,0.0229,0.0027,0.0011,0.0252,0.0173,0.0685,45080,10197,8089,0.5342,0.1827,0.7646,0.8344,0.0816,3.7,24000,27000,10500,0.980000019,0.340000004,21.62000084,100738.63,88138,6.46999979,57,926,48400,43700
University of Redlands,3,4,Private,Far West,Small City,0.672,3462,55268,25,1135,0.5061,0.0459,0.2605,0.0511,0.0055,0.0061,0.0373,0.0069,0.2218,55268,9159,9234,0.9644,0.2497,0.7295,0.884,0.2174,3,24000,27000,18381,0.970000029,0.379999995,23.63999939,83774.07,69769,9.18999958,120,1164,50000,47100
University of Houston,3,4,Public,Southwest,Large City,0.5841,30357,22215,25,1136,0.2843,0.1155,0.2998,0.2122,0.0015,0.0026,0.0311,0.0464,0.2596,22215,7456,10569,0.8759,0.3879,0.4754,0.8463,0.1935,7.9,14878,20426,10000,0.850000024,0.649999976,22.10000038,48647.14,33211,9.920000076,801,6876,51000,45200
Oklahoma State University-Main Campus,3,4,Public,Southwest,Distant Town,0.7602,20314,21338,25,1138,0.7222,0.05,0.0472,0.0153,0.0609,0.0001,0.0693,0.028,0.1264,21338,8346,8254,0.8686,0.2914,0.5956,0.7861,0.1273,8,14750.5,20500,9500,0.899999976,0.569999993,21.39999962,67548.85,52462,9.010000229,553,5190,46000,39800
University of Kentucky,3,4,Public,Southeast,Large City,0.6861,21050,22420,25,1140,0.778,0.0779,0.0326,0.0247,0.0017,0.0007,0.0285,0.0262,0.0593,22420,10793,9614,0.8206,0.2481,0.6184,0.8253,0.0824,7.2,14000,20500,9250,0.920000017,0.439999998,21.12999916,71446.07,57564,9.06000042,413,4583,45300,39300
Pratt Institute-Main,3,4,Private,Mid-Atlantic,Large City,0.5572,3247,54582,26,1140,0.4521,0.0447,0.0986,0.1571,0.0034,0.0034,0.0006,0.2239,0.0314,54582,13360,9254,0.1423,0.2622,0.6277,0.8673,0.0628,6.6,23241,27000,12000,0.980000019,0.49000001,20.88999939,75159.24,59029,8.239999771,168,1016,40600,37300
University of Cincinnati-Main Campus,3,4,Public,Great Lakes,Large City,0.7325,23360,25799,25,1141,0.7647,0.0764,0.026,0.0296,0.0022,0.001,0.0226,0.0412,0.1319,25799,10476,9079,0.4632,0.2658,0.579,0.8462,0.1563,10,15000,23947.5,9500,0.939999998,0.519999981,23,64379.94,50863,7.110000134,909,7427,40300,36200
Virginia Military Institute,3,3,Public,Southeast,Distant Town,0.4732,1675,24643,25,1141,0.8316,0.043,0.0436,0.0543,0.0018,0.0072,0.0155,0.003,0,24643,12475,7426,1,0.1508,0.7585,0.8411,0.0024,6,19710,23500,8500,0.949999988,0.370000005,19.46999931,95765.01,89939.5,5.329999924,13,316,52200,53300
Saint Mary's College,3,3,Private,Great Lakes,Large Suburb,0.8568,1470,45920,26,1141,0.7721,0.0143,0.1177,0.015,0,0,0.0279,0.0163,0.0068,45920,14363,6258,0.6682,0.2029,0.7119,0.8753,0.0054,1.6,26814,27000,8750,0.99000001,0.25999999,19.51000023,119024.16,103102,4.96999979,28,444,44700,41800
University of Louisville,3,4,Public,Southeast,Large City,0.7112,15023,21922,25,1142,0.7686,0.1146,0.0363,0.0308,0.0014,0.0005,0.0355,0.0105,0.1812,21922,15806,9373,0.6602,0.2999,0.5343,0.7788,0.2065,9.6,13300,21500,9250,0.879999995,0.560000002,22.12000084,58745.22,45597.5,8.75,323,2710,40200,35800
University of Detroit Mercy,3,4,Private,Great Lakes,Large City,0.6147,2871,48027,25,1142,0.5291,0.1007,0.0286,0.032,0.0024,0.0017,0.024,0.0582,0.2351,48027,14080,8667,1,0.2873,0.5682,0.8246,0.2389,6.1,19300,25000,12673,0.959999979,0.529999971,24.95999908,58134.97,44772,10.15999985,108,843,48200,43000
University of North Florida,3,4,Public,Southeast,Large City,0.5343,14006,19415,25,1143,0.6997,0.0985,0.0929,0.0432,0.0011,0.0009,0.0471,0.0131,0.2867,19415,5323,7279,0.7889,0.348,0.4995,0.8167,0.2453,7.5,14000,17479,9882,0.870000005,0.579999983,22.59000015,55334.71,41844.5,7.119999886,324,2877,41100,38400
Loyola University New Orleans,3,4,Private,Southeast,Large City,0.8707,2910,46676,25,1143,0.5127,0.1598,0.1581,0.0354,0.0058,0.0003,0.0357,0.032,0.0649,46676,11302,8612,0.7682,0.2972,0.5486,0.8039,0.0679,5.3,18500,26070,11250,0.970000029,0.379999995,20.77000046,88998.94,72625,9.220000267,111,896,43500,40500
Arizona State University-Tempe,3,4,Public,Southwest,Mid-size City,0.8023,38480,21960,25,1145,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,0.0376,0.0715,0.0943,21960,9080,10405,0.8787,0.3376,0.5947,0.844,0.1414,8.5,16250,20375,11000,0.879999995,0.589999974,22.55999947,63334.02,43477,7.710000038,1444,11691,46000,41200
Iowa State University,3,4,Public,Great Plains,Small City,0.8252,27112,18820,25,1145,0.7724,0.0253,0.0429,0.0269,0.0021,0.001,0.0195,0.0732,0.0416,18820,9170,10027,0.8288,0.2263,0.681,0.8713,0.0574,5.1,19750,25250,9751,0.970000029,0.439999998,20.34000015,81434.68,73557,5.449999809,433,6659,47500,43500
University of Kansas,3,4,Public,Great Plains,Small City,0.9228,18731,21971,25,1145,0.7481,0.0407,0.0641,0.0391,0.0053,0.001,0.0421,0.0521,0.099,21971,16874,9694,0.7798,0.2216,0.6162,0.799,0.1031,5.5,14799,20114,9427,0.970000029,0.400000006,20.82999992,85281.02,72937,5.239999771,339,4971,47500,41600
University of Alabama at Birmingham,3,4,Public,Southeast,Mid-size City,0.8673,11200,19990,25,1146,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.2579,19990,17208,10170,0.9106,0.3505,0.5377,0.8016,0.2422,8,16250,23117,11886,0.920000017,0.589999974,22.67000008,49894.65,34909,10.90999985,387,3121,42100,37200
University of Nebraska-Lincoln,3,4,Public,Great Plains,Large City,0.6404,19376,21024,25,1147,0.8002,0.024,0.0467,0.0224,0.0027,0.0006,0.0238,0.0599,0.0658,21024,10583,10085,0.9234,0.1979,0.6678,0.8364,0.0597,4.4,15799,22500,9002,0.949999988,0.449999988,20.28000069,81338.55,72140.5,5.940000057,320,4609,43000,39200
James Madison University,3,4,Public,Southeast,Small City,0.6356,18127,21980,25,1149,0.788,0.0399,0.0472,0.0414,0.0015,0.0018,0.0323,0.0195,0.0344,21980,8099,8016,0.7692,0.1343,0.815,0.9237,0.0259,2.5,18500,20683.5,9500,0.949999988,0.289999992,19.67000008,108473.44,99908,4.659999847,197,3208,52300,48800
Samford University,3,4,Private,Southeast,Large Suburb,0.7697,2995,38835,26,1153,0.8114,0.0664,0.0664,0.008,0.003,0.0007,0.01,0.0304,0.0504,38835,14054,8261,0.9939,0.1494,0.692,0.8673,0.0601,1.3,20000,23236,11250,0.959999979,0.349999994,21.02000046,92968.08,77481,7.099999905,76,653,48900,41400
Florida International University,3,4,Public,Southeast,Large Suburb,0.4304,38234,18426,26,1154,0.1007,0.1221,0.6705,0.0269,0.0008,0.0014,0.018,0.0472,0.3293,18426,6702,9653,0.9841,0.5809,0.5161,0.8354,0.2698,8.9,13750,17750,10500,0.730000019,0.779999971,22.38999939,38171.07,27626,11.60000038,795,6004,44200,40500
University of North Carolina Wilmington,3,4,Public,Southeast,Mid-size City,0.5419,12178,18165,24,1154,0.8043,0.048,0.0622,0.0195,0.0048,0.0017,0.0282,0.0069,0.0694,18165,7865,7872,0.7085,0.2825,0.7099,0.864,0.1328,6.7,16500,20624,9761.5,0.949999988,0.469999999,21.12999916,75837.12,63608.5,7.730000019,269,2651,39100,35700
George Mason University,3,4,Public,Southeast,Large Suburb,0.6203,21324,22332,26,1155,0.4576,0.0962,0.1167,0.174,0.0016,0.0048,0.0461,0.0417,0.1934,22332,12122,10524,0.5587,0.2684,0.667,0.8728,0.23,1.8,17250,20250,11000,0.910000026,0.519999981,22.03000069,72029.93,53311,4.010000229,440,3804,55500,53100
Saint Johns University,3,4,Private,Great Plains,Fringe Rural,0.7516,1871,46397,26,1155,0.8263,0.0315,0.0433,0.0294,0.0086,0.0021,0.0064,0.0524,0.0112,46397,12673,7899,0.8652,0.1947,0.7946,0.8552,0.0059,2.4,23150,27000,13453,0.99000001,0.289999992,19.54999924,110742.05,99495,4.320000172,24,500,55000,51100
SUNY College of Environmental Science and Forestry,3,4,Public,Mid-Atlantic,Mid-size City,0.5052,1694,22550,25,1155,0.8725,0.013,0.0242,0.0272,0.0018,0.0006,0.0236,0.0171,0.0295,22550,15891,8282,0.7439,0.2676,0.716,0.8567,0.0905,3.7,17124,20000,11500,0.959999979,0.50999999,21.02000046,76789.5,67355,7.380000114,57,499,41800,38200
University of Arkansas,3,4,Public,Southeast,Small City,0.5858,20776,19917,26,1156,0.7874,0.0492,0.0644,0.0237,0.012,0.0007,0.0321,0.0276,0.1117,19917,8349,8902,0.8663,0.2427,0.601,0.821,0.1044,6.7,14990,21524,9887,0.910000026,0.540000021,21.45999908,68151.74,52612,9.56000042,291,2762,43700,39200
Appalachian State University,3,4,Public,Southeast,Distant Town,0.6323,15840,17780,26,1156,0.8612,0.0306,0.0419,0.0136,0.0025,0.0007,0.0239,0.0076,0.0516,17780,7361,7657,0.724,0.259,0.6857,0.8718,0.0734,4.8,15635,19526,9500,0.930000007,0.460000008,20.68000031,78640.38,69100,6.860000134,262,2992,36100,33600
Michigan State University,3,4,Public,Great Lakes,Small City,0.6865,37622,23740,26,1158,0.6967,0.0674,0.036,0.0423,0.0022,0.0006,0.024,0.1202,0.081,23740,14386,10614,0.8667,0.2387,0.7736,0.9051,0.0358,5.7,22734,25714,15442,0.959999979,0.409999996,20.20000076,87289.4,78152,6.099999905,539,7322,51900,46800
University at Buffalo,3,4,Public,Mid-Atlantic,Large Suburb,0.5652,19365,20885,26,1158,0.4951,0.0675,0.0663,0.1286,0.0021,0.0008,0.0203,0.1637,0.0812,20885,15151,10026,0.6065,0.2835,0.72,0.8759,0.0788,4.5,15200,20100,9250,0.939999998,0.49000001,20.78000069,68669.08,56636,8.25,449,5720,50600,44500
Syracuse University,3,4,Private,Mid-Atlantic,Mid-size City,0.4949,14738,55600,26,1158,0.5567,0.0894,0.1076,0.0807,0.0071,0.0005,0.0257,0.0936,0.0368,55600,14915,10822,0.6598,0.2677,0.8108,0.919,0.0353,3.7,27000,27000,16750,0.970000029,0.379999995,20.01000023,98994.29,80005.5,7.550000191,201,3177,54800,50800
Providence College,3,4,Private,New England,Mid-size City,0.5979,3969,56184,26,1158,0.7667,0.0411,0.0675,0.0118,0.0013,0.0018,0.0154,0.0186,0.0448,56184,12232,9471,0.6226,0.1341,0.8504,0.9078,0.0689,2.3,27000,27000,14500,0.980000019,0.209999993,19.87999916,120179.81,110798,4.889999866,43,1019,57700,52900
